PARTNUMBER,LOTNUMBER,PRODUCTNAME,HASINVENTORY,LASTINVENTORYUPDATE,BUYABLE
el3023sdtafa02,el3023sdtafa022ja000001,Petal Radiance 18 Kt Gold & Diamond Stud Earrings,TRUE,2025-10-08 10:33:17 IST,TRUE
el3023sexafa02,el3023sexafa022ja000002,Willow Whispers 18 KTGold & Diamond Stud Earrings,TRUE,2025-10-08 10:33:17 IST,TRUE
el3023sezada02,el3023sezada022hd000003,Flowing Rivulet 18 KTGold & Diamond Stud Earrings,TRUE,2025-10-08 10:33:17 IST,TRUE
el3023sezada02,el3023sezada022hd000007,Flowing Rivulet 18 KTGold & Diamond Stud Earrings,TRUE,2025-10-08 10:33:17 IST,TRUE
el3024pejaaa02,el3024pejaaa022hd000002,Balaji Shankh Chakra Namah Gold and Diamond Pendant,TRUE,2025-10-08 10:33:17 IST,TRUE
el3024pgxaaa02,el3024pgxaaa021bl000001,Groovy Glow Gold & Diamond Pendant,TRUE,2025-10-08 10:33:17 IST,TRUE
el3024phmaaa32,el3024phmaaa321bl000006,Disco Shine Diamond & Ruby Pendant,TRUE,2025-10-08 10:33:17 IST,TRUE
el3024phmaaa32,el3024phmaaa321bl000004,Disco Shine Diamond & Ruby Pendant,TRUE,2025-10-08 10:33:17 IST,TRUE
el3024phmaaa32,el3024phmaaa321bl000005,Disco Shine Diamond & Ruby Pendant,TRUE,2025-10-08 10:33:17 IST,TRUE
el3822pgzaaa02,el3822pgzaaa021bl000002,18 KT Yellow Gold Rectangular Diamond Pendant,TRUE,2025-10-08 10:33:17 IST,TRUE
el3822pgzaaa02,el3822pgzaaa021bl000003,18 KT Yellow Gold Rectangular Diamond Pendant,TRUE,2025-10-08 10:33:17 IST,TRUE
el3823bjpaa02,el3823bjpbaa022jd000004,18Kt Rose Gold Hex Appeal Diamond Bracelet,TRUE,2025-10-08 10:33:17 IST,TRUE
el3823bjpaa02,el3823bjpbaa022jd000003,18Kt Rose Gold Hex Appeal Diamond Bracelet,TRUE,2025-10-08 10:33:17 IST,TRUE
el3823paqaaa02,el3823paqaaa021bl000001,18KT Yellow Gold Golden Gallop Diamond Pendant,TRUE,2025-10-08 10:33:17 IST,TRUE
el3823paqaaa02,el3823paqaaa021bl000002,18KT Yellow Gold Golden Gallop Diamond Pendant,TRUE,2025-10-08 10:33:17 IST,TRUE
el3823paqaaa02,el3823paqaaa021bl000004,18KT Yellow Gold Golden Gallop Diamond Pendant,TRUE,2025-10-08 10:33:17 IST,TRUE
el3823paraaa02,el3823paraaa021bl000002,18KT Yellow Gold Lucky Trunk Diamond Pendant,TRUE,2025-10-08 10:33:17 IST,TRUE
el3823paraaa02,el3823paraaa021bl000001,18KT Yellow Gold Lucky Trunk Diamond Pendant,TRUE,2025-10-08 10:33:17 IST,TRUE
el3823paraaa02,el3823paraaa021bl000003,18KT Yellow Gold Lucky Trunk Diamond Pendant,TRUE,2025-10-08 10:33:17 IST,TRUE
el3823pliaaa02,el3823pliaaa022jd000005,18Kt Yellow Gold Blooming Beauty Diamond Pendant,TRUE,2025-10-08 10:33:17 IST,TRUE
el3823pliaaa02,el3823pliaaa022jd000006,18Kt Yellow Gold Blooming Beauty Diamond Pendant,TRUE,2025-10-08 10:33:17 IST,TRUE
el3823sgsaaa02,el3823sgsaaa021bl000001,18KT  Yellow Gold Sparkling Trio of Rhombus Diamond Stud Earring,TRUE,2025-10-08 10:33:17 IST,TRUE
el3823sgsaaa02,el3823sgsaaa021bl000004,18KT  Yellow Gold Sparkling Trio of Rhombus Diamond Stud Earring,TRUE,2025-10-08 10:33:17 IST,TRUE
el3824pjxaaa02,el3824pjxaaa022jd000001,Flowing Wave Gold & Diamond Pendant,TRUE,2025-10-08 10:33:17 IST,TRUE
